title;genre;release_date;director;rating
Dreamcatcher;thriller;11/1/2009;Dorena Dales;0.7
Pearl, The (La perla);drama;4/30/1924;Jackelyn Whittaker;4.2
Doom;romance;11/16/1961;Fredek Semiras;3.0
Hard to Hold;romance;12/4/1998;Lia Yezafovich;5.8
Bad Girl Island (Sirens of Eleuthera) (Sirens of the Caribbean);action;9/1/1957;Randy Pestridge;1.4
Betty;thriller;10/27/1996;Clarita Sherlaw;6.2
What's the Worst That Could Happen?;comedy;1/21/2001;Emmeline Hitzke;0.8
State Fair;comedy;6/7/1930;Sterling Lyptrit;7.6
Laurel Canyon;thriller;5/14/1984;Reg Cometson;0.3
Moving Alan;romance;4/18/1963;Hans Merry;8.0
Roxie Hart;comedy;5/29/1939;Desirae Rousell;2.8
National Lampoon's Vacation;romance;1/18/2016;Vivyan Wescott;3.0
Secret Life of Walter Mitty, The;action;7/3/1989;Tamiko Harcase;4.2
Dare;drama;11/30/1942;Creigh Blucher;2.2
Grass Harp, The;romance;7/1/1932;Aviva Lawes;4.1
Moby Dick;thriller;12/28/1989;Logan Pude;8.7
Grandma's Boy;action;7/6/1900;Stavros De Antoni;7.0
Unknown, The (a.k.a. Alonzo the Armless);comedy;2/27/1901;Codi Gwatkins;2.0
Light at the Edge of the World, The;drama;3/8/1975;Cary Vaughn;3.6
Camouflage;action;3/19/2013;Joanie Beston;1.9
Raiders From Beneath the Sea;drama;8/23/1926;Felice Wyche;5.5
Jodhaa Akbar;thriller;1/4/1925;Vivyan Berrick;2.3
Crystal Fairy & the Magical Cactus and 2012;drama;3/20/1931;Arch Wyke;3.1
Rage;thriller;10/30/2018;Percy Riggs;6.1
Yellow Sea, The (a.k.a. The Murderer) (Hwanghae);action;2/5/1910;Willie Alejo;4.1
Titanic;romance;6/5/1958;Cami Testo;4.6
Adam and Dog;action;4/28/1995;Cicily Pittet;8.1
Bill Maher... But I'm Not Wrong;comedy;1/24/1966;Jean Meneo;0.9
Razor's Edge, The;thriller;6/17/2022;Ricard Bollum;3.5
El Dorado;drama;9/7/1950;Brocky Marcum;6.4
Six Shooter;romance;6/13/1964;Cort Burstowe;1.1
Carrington;drama;9/25/1906;Thoma Fleetwood;9.8
Darkest Hour, The;thriller;11/10/1999;Gannon Abramovitz;1.9
Titanica;action;10/25/2021;Lynnelle Wevell;7.2
Docks of New York, The;drama;5/7/2019;Christabel Champion;1.7
San Quentin;romance;2/5/1967;Sim Lumly;5.3
Divorce of Lady X, The;drama;11/1/2009;Donnell Widdicombe;8.8
Widow of St. Pierre, The (Veuve de Saint-Pierre, La);comedy;9/28/1968;Oates Lanchberry;3.5
Three Quarter Moon;comedy;10/16/2019;Ruthann Le Prevost;3.1
Man in the White Suit, The;thriller;7/21/1983;Fairfax Tumasian;0.4
Big Doll House, The;romance;7/12/1973;Nate Songhurst;5.0
Tinker Bell and the Lost Treasure;thriller;9/6/2009;Greta Tacon;2.8
Operación Cannabis;thriller;3/3/2020;Lyndy Lydden;1.8
Requiem for a Heavyweight;drama;1/23/2007;Lelah Hadcock;9.1
I Live My Life;action;3/12/1975;Alejandra Reeks;9.3
Hippie Revolution, The;romance;6/21/1912;Dione Brawn;3.9
6 Desires: DH Lawrence and Sardinia;thriller;10/6/1947;Berty Flewitt;3.7
Julius Caesar;drama;6/28/2011;Sergent McVrone;3.7
Rio Bravo;comedy;8/24/1955;Zarla Tweddell;4.9
Easy Rider;romance;10/1/2017;Ulysses Claris;0.9
Siffleurs, Les (Viheltäjät);romance;8/4/1918;Salvatore MacAlroy;3.9
Blood and Roses (Et mourir de plaisir) (To Die with Pleasure);drama;8/25/1949;Britt Zealander;7.1
Aelita: The Queen of Mars (Aelita);romance;9/12/1946;Janella Poole;4.5
Punchline;comedy;11/18/2016;Bren Hampton;6.0
Warren Oates: Across the Border;comedy;8/12/1970;Demetra Cogle;5.0
Fish Called Wanda, A;romance;8/22/1961;Dix O' Ronan;4.9
Baby, The;action;3/17/2014;Vonny Pontain;1.2
Open House ;romance;4/19/1921;Linnet MacHoste;4.9
Where Sleeping Dogs Lie;action;5/18/2001;Nickie Jefferd;1.3
Lonely Wife, The (Charulata);comedy;8/31/1964;Fanchette Kosiada;3.2
Royal Scandal, The;drama;11/20/1942;Miran Trayte;5.1
Aziz Ansari: Dangerously Delicious;thriller;4/14/1968;Enrique Reisk;6.0
Little Thief, The (Le petit voleur);action;7/20/1934;Rozele Casina;6.2
Hot Tub Time Machine;romance;8/2/1999;Pia Siemons;3.1
Experts, The;action;2/10/1977;Kelby Tissell;6.5
Tipping the Velvet;romance;7/4/1964;Holly-anne Capstick;6.8
The Package;drama;1/23/1905;Shem Fanner;5.4
Alice in Murderland;comedy;6/14/1968;Charisse Weddup;0.9
Valmont;thriller;5/12/1911;Kellia Zack;3.9
Three Stooges Meet Hercules, The;drama;5/3/2006;Amelina Tearny;3.9
Detention;thriller;3/4/1999;Wilfrid Guihen;4.3
Dry Season (Daratt);action;8/7/1900;Elvera Van den Velden;8.1
Legendary Weapons of China;action;6/15/1968;Enrichetta Gilding;7.8
Captain Ron;comedy;3/19/1924;Katuscha Skellington;9.0
One Kill;drama;4/22/1943;Jourdain Saunper;0.8
Last Frontier, The;action;12/26/1959;Olag Currm;1.8
16 to Life;thriller;10/26/1963;Bree Skittreal;4.0
Rage of Angels: The Story Continues;action;9/4/1971;Florence Yashaev;3.5
Nenette and Boni (Nénette et Boni);drama;2/29/1936;Martainn Romayne;6.3
Poughkeepsie Tapes, The;action;10/29/1989;Morgan Likely;3.6
Wind Rises, The (Kaze tachinu);romance;8/8/1960;Val Diviney;2.0
Seal Team Eight: Behind Enemy Lines;action;7/21/1944;Sibley Dowden;1.0
Beast from Haunted Cave;action;3/22/2013;Sisile Wheelband;4.6
Our Nixon;thriller;8/7/1909;Lynett Pouck;4.1
Good Wife, The;thriller;1/12/2013;Helga Golton;3.1
Maria;drama;5/13/1972;Krishnah Bartelli;4.0
Cardcaptor Sakura: The Sealed Card;thriller;7/6/2013;Stanislaus Verrico;3.0
El chocolate del loro;drama;3/17/1952;Lenna Berlin;1.8
Upside Down: The Creation Records Story;thriller;11/28/1929;Wolfgang Murrum;8.9
Dust Factory, The;drama;8/13/2013;Ronna Coarser;1.6
Talking Funny;comedy;9/4/2007;Nolan Artharg;5.2
Showrunners: The Art of Running a TV Show;drama;9/17/1983;Wildon Fraczak;2.8
Can't Stop the Music;romance;5/7/1982;Tobi Aveling;8.2
House of the Seven Gables, The;thriller;9/20/1983;Gardner Haffard;4.8
Family Meeting;romance;2/8/1923;Reeva Budibent;7.7
Pathfinder (Ofelas);thriller;3/12/1955;Junina Salzberger;0.5
Mean Machine;action;9/27/1940;Had Duchan;6.7
Squeeze;drama;11/20/1965;Lissy Mintoff;1.5
Kung Fu Panda;action;7/27/1911;Korney Lingwood;2.6
Dillinger;comedy;6/3/1938;Marielle Kingshott;6.3
